Gene stable ID	Chromosome/scaffold name	Gene name	Gene type	Gene start (bp)	Gene end (bp)
ENSG00000213856	X	VDAC1P2	processed_pseudogene	49632500	49633349
ENSG00000255072	4	PIGY	protein_coding	88521573	88521789
ENSG00000260402	16	AC133485.2	lincRNA	32262827	32265514
ENSG00000217786	6	AL355379.1	processed_pseudogene	79326568	79327207
ENSG00000227391	X	SALL1P1	processed_pseudogene	49664844	49668680
ENSG00000259822	16	AC140878.1	processed_pseudogene	32278866	32279115
ENSG00000162522	1	KIAA1522	protein_coding	32741830	32774970
ENSG00000253614	8	AC025674.2	lincRNA	57261226	57266613
ENSG00000068985	X	PAGE1	protein_coding	49687447	49695984
ENSG00000215117	8	LINC00588	lincRNA	57279543	57284731
ENSG00000198553	13	KCNRG	protein_coding	50015254	50020922
ENSG00000277594	CHR_HSCHR17_7_CTG4	DDX52	protein_coding	37614320	37648026
ENSG00000253871	8	AC068075.1	lincRNA	57343787	57364857
ENSG00000147324	8	MFHAS1	protein_coding	8783354	8893630
ENSG00000196437	19	ZNF569	protein_coding	37411155	37469275
ENSG00000255279	11	AC023442.3	lincRNA	41855920	41875997
ENSG00000261127	16	AC133548.2	transcribed_processed_pseudogene	32289547	32310555
ENSG00000255171	11	LINC01499	lincRNA	41714534	41857733
ENSG00000260516	16	AC133548.1	unprocessed_pseudogene	32356981	32363695
ENSG00000198862	21	LTN1	protein_coding	28928144	28992956
ENSG00000236303	10	LINC02646	lincRNA	130213488	130483193
ENSG00000282069	CHR_HSCHR16_4_CTG1	LINC02124	lincRNA	1891136	1892455
ENSG00000276375	10	AL157712.1	unprocessed_pseudogene	130282445	130286604
ENSG00000254668	11	AC023442.1	processed_pseudogene	41797543	41797964
ENSG00000276333	CHR_HSCHR16_4_CTG1	HS3ST6	protein_coding	1913487	1920464
ENSG00000285486	17	AC003043.2	lincRNA	44276368	44281182
ENSG00000141560	17	FN3KRP	protein_coding	82716706	82730328
ENSG00000270966	8	AC087763.1	processed_pseudogene	8933721	8934006
ENSG00000233609	8	RPL10P19	transcribed_processed_pseudogene	8961200	8979025
ENSG00000249405	5	AC022441.1	lincRNA	50858760	50860020
ENSG00000270830	5	AC022441.3	processed_pseudogene	50903608	50903743
ENSG00000064763	12	FAR2	protein_coding	29149103	29340980
ENSG00000251601	5	AC022441.2	lincRNA	50929484	50934521
ENSG00000250360	5	AC008808.2	lincRNA	50965687	50967008
ENSG00000108309	17	RUNDC3A	protein_coding	44308413	44318670
ENSG00000126259	19	KIRREL2	protein_coding	35855861	35867109
ENSG00000234537	9	AL354751.1	unprocessed_pseudogene	92132398	92138629
ENSG00000248918	5	AC008808.1	lincRNA	50969660	50970187
ENSG00000251573	5	LINC02106	lincRNA	50969217	50970167
ENSG00000196914	11	ARHGEF12	protein_coding	120336413	120489937
ENSG00000278734	5	AC091834.1	processed_pseudogene	51101172	51101643
ENSG00000143398	1	PIP5K1A	protein_coding	151197949	151249536
ENSG00000240627	5	AC026798.1	processed_pseudogene	51275253	51275734
ENSG00000232756	7	AC004990.1	antisense	77990384	77995171
ENSG00000214827	X	MTCP1	protein_coding	155061622	155147937
ENSG00000259660	15	DNM1P47	transcribed_unprocessed_pseudogene	101751032	101794302
ENSG00000106125	7	MINDY4	protein_coding	30771417	30892387
ENSG00000259663	5	AC010478.1	antisense	51372736	51383332
ENSG00000239689	18	RPL17P46	processed_pseudogene	50823577	50824120
ENSG00000267233	18	HNRNPA3P16	processed_pseudogene	50814392	50815730
ENSG00000240771	12	ARHGEF25	protein_coding	57610180	57619379
ENSG00000259236	15	GOLGA8VP	unprocessed_pseudogene	101771758	101781989
ENSG00000134042	18	MRO	protein_coding	50795120	50825402
ENSG00000243531	7	AC079804.2	processed_pseudogene	6900424	6900623
ENSG00000016082	5	ISL1	protein_coding	51383448	51394730
ENSG00000165527	14	ARF6	protein_coding	49893082	49897054
ENSG00000206315	CHR_HSCHR6_MHC_QBL_CTG1	PBX2	protein_coding	32142341	32147792
ENSG00000226943	7	ALG1L5P	unprocessed_pseudogene	6923804	6930835
ENSG00000241539	7	AC079804.1	processed_pseudogene	6924078	6924513
ENSG00000182712	X	CMC4	protein_coding	155061622	155071136
ENSG00000258135	12	LINC02396	lincRNA	49908882	49911863
ENSG00000229263	7	AC004691.1	antisense	30796691	30803410
ENSG00000240583	7	AQP1	protein_coding	30911694	30925517
ENSG00000172269	11	DPAGT1	protein_coding	119096503	119108331
ENSG00000285122	4	PIGY-DT	lincRNA	88523826	88524983
ENSG00000215788	1	TNFRSF25	protein_coding	6460786	6466195
ENSG00000138641	4	HERC3	protein_coding	88592434	88708541
ENSG00000238069	2	RPLP0P7	processed_pseudogene	156777706	156778372
ENSG00000153214	2	TMEM87B	protein_coding	112055269	112119318
ENSG00000213194	2	CDK7P1	processed_pseudogene	157210847	157211539
ENSG00000218029	6	AL078601.1	processed_pseudogene	79354443	79354713
ENSG00000260772	16	AC012321.1	3prime_overlapping_ncRNA	69703065	69704652
ENSG00000246526	4	LINC002481	lincRNA	6687448	6690519
ENSG00000262048	6	AL078601.3	processed_pseudogene	79406240	79406774
ENSG00000104626	8	ERI1	protein_coding	9002147	9116746
ENSG00000279859	4	AC093323.2	TEC	6691995	6692970
ENSG00000231533	6	AL078601.2	lincRNA	79420297	79421305
ENSG00000242440	3	LINC02046	lincRNA	148280891	148399956
ENSG00000056277	X	ZNF280C	protein_coding	130202707	130268899
ENSG00000224536	1	AC096677.1	antisense	201507241	201534784
ENSG00000285557	3	AC069410.1	lincRNA	148368384	148591927
ENSG00000163993	4	S100P	protein_coding	6693878	6697170
ENSG00000259445	15	AC025219.1	lincRNA	81953303	81995666
ENSG00000261226	16	AC092384.3	sense_intronic	88936779	88939651
ENSG00000241993	3	RPL38P1	processed_pseudogene	148695994	148696204
ENSG00000224222	10	LINC02636	lincRNA	69994626	70007836
ENSG00000231098	7	AC008154.2	antisense	134284500	134286055
ENSG00000263321	17	AC024361.3	lincRNA	82729164	82734143
ENSG00000129993	16	CBFA2T3	protein_coding	88874858	88977204
ENSG00000279847	8	C8orf87	lincRNA	93134095	93166850
ENSG00000282742	4	AC093323.3	TEC	6697861	6698809
ENSG00000178988	4	MRFAP1L1	protein_coding	6707701	6709865
ENSG00000259622	15	AC026956.1	processed_pseudogene	82010212	82010607
ENSG00000218748	6	DBIP1	processed_pseudogene	79436908	79437167
ENSG00000236526	20	AL035448.1	antisense	11909404	11918677
ENSG00000267750	17	RUNDC3A-AS1	antisense	44299574	44315315
ENSG00000275278	12	AC012150.2	antisense	29156448	29156991
ENSG00000186222	4	BLOC1S4	protein_coding	6716055	6717671
ENSG00000132640	20	BTBD3	protein_coding	11890723	11926609
ENSG00000275476	12	AC009318.4	antisense	29277397	29277882
ENSG00000183496	15	MEX3B	protein_coding	82041778	82046119
ENSG00000184140	15	OR4F6	protein_coding	101803509	101806887
ENSG00000115919	2	KYNU	protein_coding	142877657	143055833
ENSG00000087502	12	ERGIC2	protein_coding	29337352	29381189
ENSG00000250424	7	AC004691.2	protein_coding	30852273	30923812
ENSG00000182854	15	OR4F15	protein_coding	101812202	101820197
ENSG00000197774	16	EME2	protein_coding	1773207	1781708
ENSG00000232459	15	OR4F14P	unprocessed_pseudogene	101828741	101829679
ENSG00000254959	7	INMT-MINDY4	protein_coding	30752137	30892081
ENSG00000117395	1	EBNA1BP2	protein_coding	43164175	43270936
ENSG00000085382	6	HACE1	protein_coding	104728094	104859919
ENSG00000165632	10	TAF3	protein_coding	7818505	8016631
ENSG00000223419	7	AC006022.1	processed_pseudogene	30742431	30742818
ENSG00000179295	12	PTPN11	protein_coding	112418351	112509913
ENSG00000241644	7	INMT	protein_coding	30697985	30757602
ENSG00000257771	12	LINC02395	lincRNA	49911953	49930320
ENSG00000263878	18	DLGAP1-AS4	antisense	3962353	4013943
ENSG00000224713	12	AC025165.1	antisense	57612118	57619638
ENSG00000261523	16	AC009167.1	antisense	14695567	14707055
ENSG00000174460	X	ZCCHC12	protein_coding	118823824	118826968
ENSG00000264246	18	AP005208.1	processed_pseudogene	4430945	4431152
ENSG00000266401	18	AP002478.1	antisense	3653410	3656282
ENSG00000130528	19	HRC	protein_coding	49151198	49155396
ENSG00000135454	12	B4GALNT1	protein_coding	57623409	57633239
ENSG00000262001	18	DLGAP1-AS2	antisense	3603000	3608336
ENSG00000254049	8	NRG1-IT3	sense_intronic	32440746	32442725
ENSG00000225477	11	AC099730.1	processed_pseudogene	21283779	21284955
ENSG00000286131	8	AC083977.1	protein_coding	32647202	32647390
ENSG00000165119	9	HNRNPK	protein_coding	83968083	83980616
ENSG00000253974	8	NRG1-IT1	sense_intronic	32026219	32139475
ENSG00000254816	11	AC090857.1	processed_pseudogene	21169748	21170137
ENSG00000233990	10	AL353754.1	processed_pseudogene	7833618	7833957
ENSG00000250933	18	GAPDHP66	processed_pseudogene	3977649	3978615
ENSG00000165973	11	NELL1	protein_coding	20669551	21575681
ENSG00000266513	18	AP002478.2	sense_intronic	3770017	3771430
ENSG00000214344	15	OR4F13P	transcribed_unprocessed_pseudogene	101842119	101850324
ENSG00000270798	2	AC018737.1	processed_pseudogene	121743479	121745921
ENSG00000211460	2	TSN	protein_coding	121737103	121767853
ENSG00000170579	18	DLGAP1	protein_coding	3496032	4455307
ENSG00000243050	8	RPL30P10	processed_pseudogene	57392546	57392882
ENSG00000232450	1	AL133517.1	transcribed_processed_pseudogene	113698884	113699631
ENSG00000253821	8	AC090796.1	lincRNA	57492884	57591559
ENSG00000170871	4	KIAA0232	protein_coding	6781375	6884170
ENSG00000253322	8	AC104051.1	lincRNA	57594166	57805029
ENSG00000116793	1	PHTF1	protein_coding	113696831	113759489
ENSG00000254139	8	AC104051.2	lincRNA	57746149	57750199
ENSG00000249755	4	AC083829.1	processed_pseudogene	88527160	88528170
ENSG00000285385	4	AC098582.1	protein_coding	88523810	88649847
ENSG00000177432	4	NAP1L5	protein_coding	88695915	88697829
ENSG00000205959	4	AC105345.1	lincRNA	8482270	8512610
ENSG00000179178	1	TMEM125	protein_coding	43269983	43274002
ENSG00000242731	7	FAM86LP	unprocessed_pseudogene	6931684	6939603
ENSG00000251186	4	AC105345.2	antisense	8453410	8454942
ENSG00000239696	7	AC092104.1	processed_pseudogene	7078302	7079742
ENSG00000219758	6	FO393415.2	processed_pseudogene	113839279	113839621
ENSG00000224929	CHR_HSCHR6_MHC_QBL_CTG1	HLA-DPA3	unprocessed_pseudogene	33059973	33072108
ENSG00000277443	6	MARCKS	protein_coding	113857345	113863475
ENSG00000243038	14	AL117692.1	processed_pseudogene	50052857	50053569
ENSG00000214900	14	LINC01588	lincRNA	49927571	50092643
ENSG00000238100	CHR_HSCHR6_MHC_QBL_CTG1	HCG24	processed_transcript	33073573	33076557
ENSG00000225339	6	AL354740.1	processed_transcript	34248568	34286768
ENSG00000227502	6	LINC01268	lincRNA	113868013	113873351
ENSG00000177054	11	ZDHHC13	protein_coding	19117099	19176422
ENSG00000227402	CHR_HSCHR6_MHC_MANN_CTG1	SLC39A7	protein_coding	33354325	33358319
ENSG00000272325	6	NUDT3	protein_coding	34279679	34392669
ENSG00000243710	1	CFAP57	protein_coding	43172149	43254358
ENSG00000122335	6	SERAC1	protein_coding	158109515	158168280
ENSG00000105793	7	GTPBP10	protein_coding	90335223	90391455
ENSG00000250727	8	AC100871.1	processed_pseudogene	124141888	124143512
ENSG00000254000	8	AC090753.1	lincRNA	123924759	123925933
ENSG00000172375	11	C2CD2L	protein_coding	119102198	119118544
ENSG00000253868	8	FER1L6-AS2	antisense	124046073	124171522
ENSG00000124614	6	RPS10	protein_coding	34417454	34426125
ENSG00000254249	8	AC100871.2	antisense	124036010	124040468
ENSG00000214814	8	FER1L6	protein_coding	123851987	124120061
ENSG00000170523	12	KRT83	protein_coding	52314301	52321398
ENSG00000134571	11	MYBPC3	protein_coding	47331397	47352702
ENSG00000144891	3	AGTR1	protein_coding	148697784	148743008
ENSG00000259881	16	AC092384.2	antisense	88881038	88887136
ENSG00000205018	16	AC092384.1	antisense	88939789	88951524
ENSG00000231531	7	HINT1P1	processed_pseudogene	143312684	143313061
ENSG00000253885	8	ARF1P3	processed_pseudogene	124151923	124152433
ENSG00000181171	8	FER1L6-AS1	antisense	123984138	124040782
ENSG00000105290	19	APLP1	protein_coding	35867899	35879791
ENSG00000257109	15	OR4F28P	unprocessed_pseudogene	101875964	101876901
ENSG00000136542	2	GALNT5	protein_coding	157257705	157318491
ENSG00000089009	12	RPL6	protein_coding	112405190	112418838
ENSG00000273680	12	AC009318.2	antisense	29332733	29333383
ENSG00000257176	12	AC009318.1	antisense	29280418	29317848
ENSG00000263353	1	PPIAL4A	protein_coding	120889746	120890405
ENSG00000274315	12	AC009318.3	antisense	29331434	29331936
ENSG00000270788	14	PDLIM1P1	processed_pseudogene	50050368	50051336
ENSG00000206314	CHR_HSCHR6_MHC_QBL_CTG1	GPSM3	protein_coding	32148372	32153129
ENSG00000226067	1	LINC00623	lincRNA	120913275	121009291
ENSG00000244167	7	AC005532.2	processed_pseudogene	7177952	7178324
ENSG00000106392	7	C1GALT1	protein_coding	7156934	7248651
ENSG00000087237	16	CETP	protein_coding	56961923	56983845
ENSG00000281741	1	AC241377.3	TEC	120913151	120914238
ENSG00000231321	CHR_HSCHR6_MHC_MANN_CTG1	RXRB	protein_coding	33347482	33354568
ENSG00000285215	1	AC241377.4	transcribed_unprocessed_pseudogene	120963645	120977585
ENSG00000275585	1	AC241377.2	transcribed_unprocessed_pseudogene	120985692	121052167
ENSG00000274928	12	KRT89P	transcribed_unprocessed_pseudogene	52341197	52354036
ENSG00000225046	X	AL035423.1	processed_pseudogene	130330857	130331069
ENSG00000235072	2	AC012074.1	lincRNA	25369136	25375845
ENSG00000135443	12	KRT85	protein_coding	52360006	52367481
ENSG00000181396	17	OGFOD3	protein_coding	82389210	82418637
ENSG00000188037	7	CLCN1	protein_coding	143316126	143352083
ENSG00000174903	11	RAB1B	protein_coding	66268590	66277492
ENSG00000153250	2	RBMS1	protein_coding	160272151	160493807
ENSG00000116497	1	S100PBP	protein_coding	32816767	32858875
ENSG00000196433	X	ASMT	protein_coding	1615059	1643081
ENSG00000206312	CHR_HSCHR6_MHC_QBL_CTG1	NOTCH4	protein_coding	32152449	32181676
ENSG00000224655	2	LINC01823	lincRNA	121790444	121809959
ENSG00000249819	4	AC112240.1	processed_pseudogene	157204462	157204855
ENSG00000234215	7	AC006012.1	lincRNA	69595958	69597448
ENSG00000180176	11	TH	protein_coding	2163929	2171877
ENSG00000275296	1	AC241377.1	processed_pseudogene	121058948	121059353
ENSG00000125991	20	ERGIC3	protein_coding	35542021	35557634
ENSG00000237856	2	AC062020.1	lincRNA	123065321	123067722
ENSG00000232740	2	LINC01826	lincRNA	123066151	123073481
ENSG00000226708	2	AC073409.1	lincRNA	123443266	123444445
ENSG00000254452	11	AP001107.2	antisense	66276779	66277492
ENSG00000174871	11	CNIH2	protein_coding	66278175	66285301
ENSG00000227535	6	AL357315.1	sense_overlapping	104831129	104845820
ENSG00000234998	1	AC244453.3	antisense	121087528	121116676
ENSG00000254822	11	AC023442.2	lincRNA	41876634	41877078
ENSG00000223345	1	HIST2H2BA	transcribed_unprocessed_pseudogene	121108210	121117257
ENSG00000255300	11	AC079917.1	lincRNA	41993385	42163851
ENSG00000198019	1	FCGR1B	protein_coding	121087345	121096310
ENSG00000255109	11	AC090458.1	lincRNA	42183292	42253712
ENSG00000228254	CHR_HSCHR6_MHC_MCF_CTG1	HLA-DQB2	protein_coding	32789880	32797319
ENSG00000254914	11	AC109810.1	processed_pseudogene	42939775	42939998
ENSG00000205293	8	LINC01602	lincRNA	57855500	57984126
ENSG00000253376	8	AC012103.1	lincRNA	57889576	57890809
ENSG00000104412	8	EMC2	protein_coding	108443601	108489196
ENSG00000226147	1	TUBBP10	processed_pseudogene	52994726	52996026
ENSG00000236360	1	AL445183.3	processed_pseudogene	52993201	52993702
ENSG00000237279	1	AC099677.3	processed_pseudogene	52943536	52943930
ENSG00000253523	8	AC104350.1	lincRNA	58031334	58032682
ENSG00000242595	8	RPL26P26	processed_pseudogene	58113189	58113622
ENSG00000134684	1	YARS	protein_coding	32775237	32818153
ENSG00000116171	1	SCP2	protein_coding	52927276	53051698
ENSG00000253116	8	AC027698.1	lincRNA	58091442	58106294
ENSG00000169122	8	FAM110B	protein_coding	57994509	58204279
ENSG00000155099	8	PIP4P2	protein_coding	90993802	91040872
ENSG00000224341	X	AC006965.1	processed_pseudogene	118877886	118879185
ENSG00000174851	11	YIF1A	protein_coding	66284580	66289145
ENSG00000203650	X	LINC01285	lincRNA	118839554	118919669
ENSG00000285715	10	AC063960.1	antisense	122017982	122019160
ENSG00000285973	10	AC063960.2	antisense	122145106	122155176
ENSG00000213049	12	HNRNPA1P34	processed_pseudogene	9027532	9029089
ENSG00000259989	16	AC135782.2	lincRNA	88984032	88995369
ENSG00000255776	12	VDAC2P2	processed_pseudogene	9036344	9037244
ENSG00000132854	1	KANK4	protein_coding	62236165	62319434
ENSG00000256982	16	AC135782.1	lincRNA	89046172	89052965
ENSG00000257588	12	AC025154.2	antisense	49951512	49962924
ENSG00000233029	1	AC244453.2	antisense	121090289	121097655
ENSG00000214851	12	LINC00612	processed_transcript	9055586	9065070
ENSG00000235640	2	AC092646.2	processed_pseudogene	123695302	123697396
ENSG00000259454	15	WBP1LP5	processed_pseudogene	101887354	101887767
ENSG00000259646	15	AC140725.2	unprocessed_pseudogene	101903154	101903204
ENSG00000161798	12	AQP5	protein_coding	49961872	49965682
ENSG00000136541	2	ERMN	protein_coding	157318625	157327713
ENSG00000177693	15	OR4F4	protein_coding	101922042	101923113
ENSG00000280440	7	AC002064.3	TEC	90345873	90346218
ENSG00000108691	17	CCL2	protein_coding	34255218	34257203
ENSG00000273299	7	AC006153.1	processed_transcript	90403434	90513391
ENSG00000183909	15	OR4G2P	transcribed_unprocessed_pseudogene	101926164	101933350
ENSG00000128487	17	SPECC1	protein_coding	20009344	20319026
ENSG00000259912	16	AC023813.1	lincRNA	48620319	48622033
ENSG00000275771	15	OR4G6P	unprocessed_pseudogene	101937591	101938470
ENSG00000260086	16	AC007611.1	lincRNA	48623436	48744921
ENSG00000253358	8	AC087439.1	antisense	91016588	91018655
ENSG00000167580	12	AQP2	protein_coding	49950741	49958881
ENSG00000260726	16	KLF8P1	processed_pseudogene	48718083	48719143
ENSG00000272545	16	AC023813.4	lincRNA	48640473	48641052
ENSG00000260052	16	AC023813.3	lincRNA	48637143	48638719
ENSG00000254725	11	AC009643.1	processed_pseudogene	43065686	43066076
ENSG00000220583	6	RPL35P2	processed_pseudogene	34263311	34263673
ENSG00000271028	11	AC009643.2	processed_pseudogene	43063637	43065932
ENSG00000241910	CHR_HSCHR6_MHC_MCF_CTG1	HLA-DOB	protein_coding	32846263	32850548
ENSG00000186577	6	SMIM29	protein_coding	34246381	34249108
ENSG00000250072	5	SH3TC2-DT	lincRNA	149063317	149109787
ENSG00000230825	7	AC005532.1	processed_transcript	7255154	7277779
ENSG00000233223	17	AC016876.1	antisense	7581964	7584072
ENSG00000236712	7	AC079448.1	processed_pseudogene	7293508	7293880
ENSG00000137965	1	IFI44	protein_coding	78649796	78664078
ENSG00000251557	11	HNRNPKP3	transcribed_processed_pseudogene	43120762	43269393
ENSG00000129194	17	SOX15	protein_coding	7588178	7590170
ENSG00000100483	14	VCPKMT	protein_coding	50108632	50116600
ENSG00000257378	12	AC025154.1	antisense	49954639	49956125
ENSG00000231270	X	AL772284.1	processed_pseudogene	118938153	118939134
ENSG00000073921	11	PICALM	protein_coding	85957175	86069882
ENSG00000144152	2	FBLN7	protein_coding	112138385	112188218
ENSG00000229677	7	AC018644.1	processed_pseudogene	139049456	139050006
ENSG00000105939	7	ZC3HAV1	protein_coding	139043515	139109720
ENSG00000167460	19	TPM4	protein_coding	16067021	16103005
ENSG00000129226	17	CD68	protein_coding	7579491	7582111
ENSG00000254219	8	AC087439.2	processed_transcript	91042690	91044762
ENSG00000253738	8	OTUD6B-AS1	antisense	91059909	91070189
ENSG00000178927	17	CYBC1	protein_coding	82442586	82450829
ENSG00000102409	X	BEX4	protein_coding	103215108	103217246
ENSG00000285401	6	AL109897.1	processed_pseudogene	75744275	75744840
ENSG00000231327	2	LINC01816	lincRNA	70124036	70125317
ENSG00000181896	19	ZNF101	protein_coding	19668796	19683509
ENSG00000250372	4	MARK2P4	processed_pseudogene	176012038	176014417
ENSG00000277957	17	SENP3-EIF4A1	protein_coding	7563287	7578715
ENSG00000236495	10	AL158168.1	antisense	14652689	14661691
ENSG00000267319	19	SELENOKP1	processed_pseudogene	37693280	37693564
ENSG00000267552	19	AC093227.2	protein_coding	37689865	37719188
ENSG00000254624	11	OR4R3P	unprocessed_pseudogene	49923049	49923886
ENSG00000284946	15	AC068831.7	protein_coding	90966190	91022566
ENSG00000229364	CHR_HSCHR6_MHC_SSTO_CTG1	DDX39BP1	unprocessed_pseudogene	29897735	29898101
ENSG00000275929	15	AC068831.5	unprocessed_pseudogene	91031246	91031691
ENSG00000258817	11	OR4C13	protein_coding	49952391	49953419
ENSG00000198901	15	PRC1	protein_coding	90966040	90995629
ENSG00000161270	19	NPHS1	protein_coding	35825964	35869287
ENSG00000223860	CHR_HSCHR6_MHC_SSTO_CTG1	MCCD1P1	unprocessed_pseudogene	29898975	29899837
ENSG00000161960	17	EIF4A1	protein_coding	7572706	7579006
ENSG00000221954	11	OR4C12	protein_coding	49981473	49982535
ENSG00000235426	10	AL133481.1	antisense	79382328	79409274
ENSG00000106384	7	MOGAT3	protein_coding	101195007	101201038
ENSG00000165424	10	ZCCHC24	protein_coding	79382325	79445627
ENSG00000283605	11	OR4C48P	unprocessed_pseudogene	50018798	50019695
ENSG00000236033	CHR_HSCHR6_MHC_SSTO_CTG1	HCG4B	unprocessed_pseudogene	29917138	29918128
ENSG00000175967	6	FO393415.1	antisense	113904138	113921642
ENSG00000229959	CHR_HSCHR6_MHC_SSTO_CTG1	HLA-K	unprocessed_pseudogene	29917614	29920391
ENSG00000270800	6	RPS10-NUDT3	protein_coding	34284887	34426071
ENSG00000120784	19	ZFP30	protein_coding	37613749	37692337
ENSG00000236099	2	AC013403.1	unprocessed_pseudogene	27158563	27159229
ENSG00000245156	11	AP001107.1	lincRNA	66269832	66278525
ENSG00000143624	1	INTS3	protein_coding	153728050	153774808
ENSG00000225357	20	RPF2P1	processed_pseudogene	35752814	35753719
ENSG00000259021	10	TPRX1P1	processed_pseudogene	79499666	79499984
ENSG00000158526	X	TSR2	protein_coding	54440404	54448032
ENSG00000160183	21	TMPRSS3	protein_coding	42371837	42396846
ENSG00000241317	10	AL133481.3	lincRNA	79504073	79506281
ENSG00000138768	4	USO1	protein_coding	75724593	75814286
ENSG00000169435	4	RASSF6	protein_coding	73571550	73620631
ENSG00000235705	10	AL133481.2	transcribed_processed_pseudogene	79507597	79510982
ENSG00000175556	X	LONRF3	protein_coding	118974614	119018355
ENSG00000177675	12	CD163L1	protein_coding	7346685	7479897
ENSG00000253626	10	EIF5AL1	protein_coding	79512601	79516440
ENSG00000022355	5	GABRA1	protein_coding	161847063	161899981
ENSG00000205809	12	KLRC2	protein_coding	10426854	10442300
ENSG00000114423	3	CBLB	protein_coding	105655461	105869552
ENSG00000271985	10	BX248123.2	processed_pseudogene	79526508	79526631
ENSG00000232965	10	RPS12P18	processed_pseudogene	79544087	79544356
ENSG00000102302	X	FGD1	protein_coding	54445454	54496234
ENSG00000226114	2	NDUFB4P5	processed_pseudogene	86934462	86934822
ENSG00000135636	2	DYSF	protein_coding	71453722	71686768
ENSG00000145780	5	FEM1C	protein_coding	115520908	115544775
ENSG00000187627	2	RGPD1	protein_coding	86907953	87013976
ENSG00000260018	16	AC040169.1	antisense	84117051	84117571
ENSG00000198700	1	IPO9	protein_coding	201829149	201884291
ENSG00000237220	2	AC104777.2	lincRNA	150566134	150568080
ENSG00000236049	2	LINC01920	lincRNA	150552532	150572221
ENSG00000260410	16	AC040169.2	processed_pseudogene	84119293	84121153
ENSG00000154654	21	NCAM2	protein_coding	20998409	21543329
ENSG00000255284	11	AP006621.3	lincRNA	777578	784297
ENSG00000224048	2	LINC02612	lincRNA	150612381	150635348
ENSG00000279672	11	AP006621.5	TEC	779617	780755
ENSG00000255142	11	AP006621.2	lincRNA	781645	782105
ENSG00000270390	2	AC013444.2	processed_pseudogene	142947300	142948086
ENSG00000180964	X	TCEAL8	protein_coding	103252995	103255192
ENSG00000232359	2	AC104777.1	lincRNA	150595102	150620067
ENSG00000130829	X	DUSP9	protein_coding	153642492	153651326
ENSG00000103160	16	HSDL1	protein_coding	84122141	84145192
ENSG00000260184	16	AC023827.1	processed_pseudogene	48849919	48850015
ENSG00000260067	16	MTND4LP25	processed_pseudogene	49066567	49066729
ENSG00000205810	12	KLRC3	protein_coding	10412312	10420595
ENSG00000261421	16	AC044798.1	lincRNA	49159508	49162023
ENSG00000266916	19	ZNF793-AS1	antisense	37497159	37507087
ENSG00000261815	16	AC044798.2	lincRNA	49170552	49171786
ENSG00000102924	16	CBLN1	protein_coding	49277917	49281838
ENSG00000198182	19	ZNF607	protein_coding	37696371	37719761
ENSG00000205267	7	DGAT2L7P	unprocessed_pseudogene	101201809	101203526
ENSG00000205060	7	SLC35B4	protein_coding	134289332	134316930
ENSG00000213394	7	RPSAP46	processed_pseudogene	101203614	101204495
ENSG00000278962	2	AC092645.1	TEC	112188364	112190635
ENSG00000255641	12	AC068775.1	protein_coding	10412312	10436001
ENSG00000158435	2	CNOT11	protein_coding	101252886	101270316
ENSG00000172116	2	CD8B	protein_coding	86815339	86861924
ENSG00000143549	1	TPM3	protein_coding	154155304	154194648
ENSG00000144161	2	ZC3H8	protein_coding	112211529	112255136
ENSG00000134545	12	KLRC1	protein_coding	10442264	10454685
ENSG00000279249	16	AC007614.1	antisense	49282037	49350504
ENSG00000145715	5	RASA1	protein_coding	87267888	87391931
ENSG00000226771	21	AP001136.1	antisense	21223295	21226829
ENSG00000280189	16	AC007614.2	TEC	49297143	49299762
ENSG00000225026	3	AC091492.1	processed_pseudogene	12328003	12328274
ENSG00000119523	9	ALG2	protein_coding	99216425	99221942
ENSG00000267470	19	ZNF571-AS1	antisense	37548914	37587348
ENSG00000255198	16	SNHG9	lincRNA	1964959	1965509
ENSG00000262666	CHR_HSCHR1_2_CTG31	FAM189B	protein_coding	155262609	155270887
ENSG00000255836	12	AC131206.1	processed_pseudogene	7438780	7439990
ENSG00000154134	11	ROBO3	protein_coding	124865432	124881471
ENSG00000177575	12	CD163	protein_coding	7470813	7503893
ENSG00000237793	X	RPL18AP16	processed_pseudogene	153662162	153662692
ENSG00000259542	15	AC087477.5	lincRNA	96393146	96405189
ENSG00000261722	16	AC092376.1	lincRNA	79212711	79229453
ENSG00000224692	X	Z68694.1	processed_pseudogene	103258572	103259581
ENSG00000099284	10	H2AFY2	protein_coding	70052846	70112282
ENSG00000229177	7	AC008154.1	lincRNA	134346071	134350791
ENSG00000261472	16	AC084064.1	lincRNA	79505603	79516293
ENSG00000260484	8	AC131902.2	lincRNA	53388701	53390872
ENSG00000273297	7	AC009275.1	lincRNA	134416290	134432453
ENSG00000259614	15	AC087477.6	processed_pseudogene	96388214	96389056
ENSG00000259275	15	AC087477.2	lincRNA	96354237	96403803
ENSG00000228126	1	FALEC	lincRNA	150515757	150518032
ENSG00000175573	11	C11orf68	protein_coding	65916810	65919062
ENSG00000236390	1	AC092800.1	antisense	201673105	201674144
ENSG00000235121	1	AL645504.1	antisense	201723294	201737506
ENSG00000228064	2	AC023469.2	antisense	150982506	151003474
ENSG00000178573	16	MAF	protein_coding	79585843	79600737
ENSG00000134970	5	TMED7	protein_coding	115613210	115632992
